trajectory_id,condition,block,rmse,mae,mse,r2,pearson_r
A366,A366,tf_acc,0.03971496400995958,0.026330292224884033,0.0015772783663123846,0.9061963849501734,0.9530682296743245
A366,A366,tf_rna,0.047436026621134546,0.03145313262939453,0.0022501766216009855,0.9949095339286557,0.9982327234132693
A366,A366,target_rna,0.03779192221964373,0.027838557958602905,0.0014282293850556016,0.9929770759857777,0.9968532861170764
DMSO,DMSO,tf_acc,0.050754303843801495,0.03455103188753128,0.0025759993586689234,0.9343324309444155,0.9684966663315828
DMSO,DMSO,tf_rna,0.061123987404869864,0.04044719785451889,0.00373614183627069,0.9959958827443846,0.9985337284971363
DMSO,DMSO,target_rna,0.05207578137403761,0.033593375235795975,0.0027118870057165623,0.9945825239795392,0.9974622968825498
